name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,PlayStyles,PlayStyles +,Number of playstyles,
Gonçalo Inácio CB LB CDM,21,80,87,"Sporting CP
2019 ~ 2027",257179,"185cm / 6'1""",78kg / 172lbs,Left,82,CB,7,"Jul 1, 2019",N/A,€40M,€12K,€88M,261,30,23,84+2,79,45,283,69+6,29,27,85+3,73,364,78,81,73,77,55,336,67,84,78,79,28,345,78,78,74+26,75,40,75,243,82,82,79,36,6,6,7,10,7,1868,412,2,2,Medium,High,1,Normal (185+),No,80,37,64,71,81,79,,Pinged Pass Long Ball Pass Intercept Aerial,,4,
K. Páez CAM CF RW,16,71,87,"Independiente del Valle
2023 ~ 2025",274559,"177cm / 5'10""",71kg / 157lbs,Left,73,CAM,16,"Jan 1, 2023",N/A,€4.7M,€500,€13.3M,295,61,68,48,74,44,343,73,73,60,66,71,374,77,81,82,59,75,308,65,58,65,49,71,294,44,56,72,71,51,52,117,34,42,41,51,10,11,9,15,6,1782,381,3,4,Medium,Medium,1,Lean (170-185),No,79,66,69,72,43,52,,Pinged Pass Technical First Touch Trickster,,4,
A. Grønbæk CAM CM,22,74,82,"Bodø / Glimt
2022 ~ 2028",256949,"176cm / 5'9""",65kg / 143lbs,Right,76,CAM,8,"Aug 13, 2022",N/A,€9.5M,€6K,€14.3M,327,68,70,55,73,61,351,75,69,62,70,75,392,78,76,85,69,84,355,67,72,86,65,65,336,68,64,72,76,56,76,188,62,64,62,48,8,12,13,6,9,1997,424,3,4,High,Medium,1,Normal (170-185),No,77,67,71,76,62,71,,Incisive Pass Technical Flair,,3,
M. Tillman CAM CM LW,21,76,84,"PSV
Jun 30, 2024 On loan",256853,"187cm / 6'2""",71kg / 157lbs,Right,78,CAM,8,"Aug 22, 2021","Jun 30, 2024",€17M,€36K,€0,337,64,70,73,77,53,335,79,68,41,69,78,398,82,76,78,74,88,355,71,85,62,72,65,323,58,60,72,77,56,74,176,55,67,54,52,9,11,11,12,9,1976,425,3,4,High,Medium,1,Normal (185+),No,79,68,71,79,61,67,,Power Shot Incisive Pass Technical Flair First Touch Trivela,,6,
Sávio LM CF LW,19,80,88,"Girona
Jun 30, 2024 On loan",270409,"176cm / 5'9""",71kg / 157lbs,Left,81,CAM,8,"Jul 1, 2022","Jun 30, 2024",€45.5M,€7K,€0,341,80,76,45,77,63,368,86,78,55,67,82,412,88,87,88,73,76,315,69,61,73,45,67,284,45,25,76,76,62,70,92,26,30,36,50,9,12,8,9,12,1862,399,2,4,High,Low,1,Lean (170-185),No,87,71,75,83,30,53,,Technical,,1,
Lucas Beraldo CB LB,19,75,86,"Paris Saint Germain
2024 ~ 2028",279709,"182cm / 6'0""",78kg / 172lbs,Left,77,CB,11,"Jan 1, 2024",N/A,€11.5M,€28K,€23.6M,263,53,34,69,77,30,299,66,58,34,71,70,322,64,73,57,70,58,300,56,75,63,75,31,294,80,74,35,59,46,68,227,72,78,77,60,11,14,15,12,8,1765,385,2,2,High,Medium,1,Normal (170-185),No,69,38,65,66,74,73,,Pinged Pass Slide Tackle,,2,
Pau Cubarsí CB,16,66+2,85+2,"FC Barcelona
2023 ~ 2026",278046,"182cm / 6'0""",75kg / 165lbs,Right,68,CB,19,"Jul 1, 2023",N/A,€2M,€1K,€5.4M,199,26,22,65,65+2,21,214,46+3,22,25,56+2,65+2,326,65+2,69+1,65,65+1,62,244,32,68+1,68,60,16,223,63,66+1,22,36+2,36,61+2,202,65+2,69+2,68+2,51,10,6,14,7,14,1459,322,4,2,Medium,Medium,1,Lean (170-185),No,67,23,46,56,67,63,,,,0,
Evanilson ST,23,79,84,"Porto
2020 ~ 2027",256612,"181cm / 5'11""",77kg / 170lbs,Right,81,ST,5,"Sep 11, 2020",N/A,€27M,€16K,€56M,351,45,81,75,74,76,332,78,67,46,62,79,366,75,74,67,81,69,388,76,86,75,81,70,281,45,16,84,67,69,77,61,22,20,19,51,13,11,6,14,7,1830,389,4,3,High,Medium,1,Normal (170-185),Yes,74,77,63,77,25,73,,,,0,
X. Simons CAM LW LM,20,82,89,"RB Leipzig
Jun 30, 2024 On loan",245367,"179cm / 5'10""",61kg / 134lbs,Right,84,CAM,7,"Jul 18, 2023","Jun 30, 2024",€60.5M,€71K,€0,356,74,78,60,82,62,393,85,82,65,76,85,428,89,85,89,81,84,380,78,71,84,67,80,361,79,65,75,81,61,78,178,60,62,56,43,9,11,5,8,10,2139,462,3,4,High,High,2,Lean (170-185),Yes,87,77,78,85,61,74,,Finesse Shot Tiki Taka Technical Flair First Touch Trivela,,6,
J. Bellingham CM CAM ST,17,66,82,"Sunderland
2023 ~ 2028",270964,"191cm / 6'3""",75kg / 165lbs,Right,68,CAM,16,"Jun 24, 2023",N/A,€2.1M,€1K,€5.3M,292,53+2,61+5,64,67,47,303,69,55,44,65,70,335,65-3,71-1,68,61,70,322,59+2,69-1,73+4,63,58+2,296,56,64,65,66,45,68+2,187,61,66,60,59,10,10,13,15,11,1794,385,3,3,High,High,1,Lean (185+),No,68,59,62,69,63,64,,,,0,
W. Zaïre-Emery CM CDM,17,80,90,"Paris Saint Germain
2022 ~ 2029",270673,"178cm / 5'10""",68kg / 150lbs,Right,82,CM,10,"Jul 15, 2022",N/A,€43.5M,€11K,€89.2M,329,66,66,66,82,49,357,78,64,53,81,81,395,80,78,74,79,84,384,76,80,84,75,69,369,76,78,76,80,59,77,224,71,80,73,55,14,11,7,8,15,2113,455,4,3,Medium,High,1,Normal (170-185),No,79,68,76,79,75,78,,First Touch Press Proven Quick Step,,3,
J. Hato CB LB,17,73,88,"Ajax
2022 ~ 2028",272978,"182cm / 6'0""",76kg / 168lbs,Left,75,CDM,15,"Mar 14, 2022",N/A,€6.5M,€550,€13.2M,270,55,36,67,77,35,299,67,54,31,73,74,395,82,88,75,75,75,306,53,86,71,67,29,294,67,77,52,64,34,72,216,72,74,70,40,8,5,5,13,9,1820,403,3,2,High,Medium,1,Normal (170-185),No,85,39,66,71,73,69,,,,0,
